in s,C3 in V
-7.56960E-03,-2.295E-03
-7.56940E-03,-2.490E-03
-7.56920E-03,-2.685E-03
-7.56900E-03,-2.490E-03
-7.56880E-03,-2.880E-03
-7.56860E-03,-2.880E-03
-7.56839E-03,-2.295E-03
-7.56819E-03,-2.099E-03
-7.56799E-03,-1.318E-03
-7.56779E-03,-2.099E-03
-7.56759E-03,-2.490E-03
-7.56739E-03,-2.099E-03
-7.56718E-03,-2.099E-03
-7.56698E-03,-1.709E-03
-7.56678E-03,-1.709E-03
-7.56658E-03,-1.904E-03
-7.56638E-03,-2.099E-03
-7.56618E-03,-2.295E-03
-7.56597E-03,-1.709E-03
-7.56577E-03,-1.513E-03
-7.56557E-03,-1.123E-03
-7.56537E-03,-1.709E-03
-7.56517E-03,-1.123E-03
-7.56497E-03,4.922E-05
-7.56476E-03,-5.367E-04
-7.56456E-03,-7.320E-04
-7.56436E-03,2.445E-04
-7.56416E-03,4.922E-05
-7.56396E-03,2.445E-04
-7.56376E-03,6.352E-04
-7.56356E-03,-9.273E-04
-7.56335E-03,-5.367E-04
-7.56315E-03,-1.123E-03
-7.56295E-03,-1.709E-03
-7.56275E-03,-1.709E-03
-7.56255E-03,-5.367E-04
-7.56235E-03,-1.123E-03
-7.56214E-03,-9.273E-04
-7.56194E-03,-7.320E-04
-7.56174E-03,-1.123E-03
-7.56154E-03,-1.709E-03
-7.56134E-03,-1.318E-03
-7.56114E-03,-2.099E-03
-7.56093E-03,-1.904E-03
-7.56073E-03,-1.513E-03
-7.56053E-03,-1.513E-03
-7.56033E-03,-1.318E-03
-7.56013E-03,-1.709E-03
-7.55993E-03,-1.123E-03
-7.55972E-03,-9.273E-04
-7.55952E-03,-1.123E-03
-7.55932E-03,-1.318E-03
-7.55912E-03,-1.123E-03
-7.55892E-03,-1.709E-03
-7.55872E-03,-5.367E-04
-7.55852E-03,-1.123E-03
-7.55831E-03,-1.123E-03
-7.55811E-03,-1.709E-03
-7.55791E-03,-1.123E-03
-7.55771E-03,-1.709E-03
-7.55751E-03,-7.320E-04
-7.55731E-03,-1.513E-03
-7.55710E-03,-1.318E-03
-7.55690E-03,-1.123E-03
-7.55670E-03,-1.904E-03
-7.55650E-03,-1.318E-03
-7.55630E-03,-1.318E-03
-7.55610E-03,-1.904E-03
-7.55589E-03,-1.904E-03
-7.55569E-03,-1.513E-03
-7.55549E-03,-7.320E-04
-7.55529E-03,-2.099E-03
-7.55509E-03,-1.904E-03
-7.55489E-03,-2.099E-03
-7.55468E-03,-2.099E-03
-7.55448E-03,-1.904E-03
-7.55428E-03,-2.295E-03
-7.55408E-03,-2.099E-03
-7.55388E-03,-2.099E-03
-7.55368E-03,-1.904E-03
-7.55348E-03,-2.295E-03
-7.55327E-03,-2.099E-03
-7.55307E-03,-1.904E-03
-7.55287E-03,-2.099E-03
-7.55267E-03,-1.513E-03
-7.55247E-03,-1.513E-03
-7.55227E-03,-1.709E-03
-7.55206E-03,-1.709E-03
-7.55186E-03,-1.318E-03
-7.55166E-03,-7.320E-04
-7.55146E-03,-1.318E-03
-7.55126E-03,-1.318E-03
-7.55106E-03,-1.709E-03
-7.55085E-03,-1.513E-03
-7.55065E-03,-1.904E-03
-7.55045E-03,-9.273E-04
-7.55025E-03,-1.318E-03
-7.55005E-03,-7.320E-04
