in s,C3 in V
-3.92565E-03,-7.320E-04
-3.92545E-03,-1.123E-03
-3.92524E-03,-9.273E-04
-3.92504E-03,-7.320E-04
-3.92484E-03,-1.123E-03
-3.92464E-03,-1.709E-03
-3.92444E-03,-9.273E-04
-3.92424E-03,-5.367E-04
-3.92404E-03,-1.513E-03
-3.92383E-03,-9.273E-04
-3.92363E-03,-1.123E-03
-3.92343E-03,-7.320E-04
-3.92323E-03,-1.318E-03
-3.92303E-03,-9.273E-04
-3.92283E-03,-7.320E-04
-3.92262E-03,-7.320E-04
-3.92242E-03,-5.367E-04
-3.92222E-03,-7.320E-04
-3.92202E-03,2.445E-04
-3.92182E-03,-1.123E-03
-3.92162E-03,-5.367E-04
-3.92141E-03,-1.318E-03
-3.92121E-03,-5.367E-04
-3.92101E-03,-5.367E-04
-3.92081E-03,-7.320E-04
-3.92061E-03,-1.709E-03
-3.92041E-03,-1.123E-03
-3.92020E-03,-7.320E-04
-3.92000E-03,-1.123E-03
-3.91980E-03,-1.513E-03
-3.91960E-03,-1.709E-03
-3.91940E-03,-7.320E-04
-3.91920E-03,-5.367E-04
-3.91900E-03,-7.320E-04
-3.91879E-03,4.922E-05
-3.91859E-03,4.922E-05
-3.91839E-03,4.398E-04
-3.91819E-03,4.398E-04
-3.91799E-03,2.445E-04
-3.91779E-03,1.026E-03
-3.91758E-03,1.612E-03
-3.91738E-03,1.221E-03
-3.91718E-03,1.416E-03
-3.91698E-03,1.026E-03
-3.91678E-03,1.807E-03
-3.91658E-03,1.416E-03
-3.91637E-03,2.002E-03
-3.91617E-03,2.784E-03
-3.91597E-03,2.979E-03
-3.91577E-03,2.393E-03
-3.91557E-03,1.026E-03
-3.91537E-03,1.026E-03
-3.91516E-03,1.807E-03
-3.91496E-03,1.612E-03
-3.91476E-03,2.002E-03
-3.91456E-03,1.026E-03
-3.91436E-03,1.221E-03
-3.91416E-03,1.221E-03
-3.91396E-03,4.398E-04
-3.91375E-03,6.352E-04
-3.91355E-03,2.445E-04
-3.91335E-03,8.305E-04
-3.91315E-03,4.398E-04
-3.91295E-03,1.026E-03
-3.91275E-03,1.416E-03
-3.91254E-03,1.416E-03
-3.91234E-03,1.612E-03
-3.91214E-03,1.221E-03
-3.91194E-03,1.612E-03
-3.91174E-03,6.352E-04
-3.91154E-03,4.398E-04
-3.91133E-03,8.305E-04
-3.91113E-03,-5.367E-04
-3.91093E-03,-7.320E-04
-3.91073E-03,2.445E-04
-3.91053E-03,2.445E-04
-3.91033E-03,1.026E-03
-3.91012E-03,2.445E-04
-3.90992E-03,4.398E-04
-3.90972E-03,1.416E-03
-3.90952E-03,-3.414E-04
-3.90932E-03,6.352E-04
-3.90912E-03,6.352E-04
-3.90892E-03,2.445E-04
-3.90871E-03,-3.414E-04
-3.90851E-03,4.922E-05
-3.90831E-03,-3.414E-04
-3.90811E-03,4.922E-05
-3.90791E-03,-5.367E-04
-3.90771E-03,-7.320E-04
-3.90750E-03,-5.367E-04
-3.90730E-03,2.445E-04
-3.90710E-03,2.445E-04
-3.90690E-03,-5.367E-04
-3.90670E-03,-5.367E-04
-3.90650E-03,-5.367E-04
-3.90629E-03,2.445E-04
-3.90609E-03,-1.461E-04
-3.90589E-03,-7.320E-04
-3.90569E-03,-1.709E-03
-3.90549E-03,4.922E-05
-3.90529E-03,-3.414E-04
-3.90508E-03,-1.461E-04
-3.90488E-03,-9.273E-04
-3.90468E-03,-1.461E-04
-3.90448E-03,-5.367E-04
-3.90428E-03,-7.320E-04
-3.90408E-03,-9.273E-04
-3.90388E-03,-1.123E-03
-3.90367E-03,-2.295E-03
-3.90347E-03,-2.099E-03
-3.90327E-03,-1.513E-03
-3.90307E-03,-1.123E-03
-3.90287E-03,-2.099E-03
-3.90267E-03,-2.685E-03
-3.90246E-03,-1.904E-03
-3.90226E-03,-2.295E-03
-3.90206E-03,-2.685E-03
-3.90186E-03,-1.904E-03
-3.90166E-03,-2.099E-03
-3.90146E-03,-2.685E-03
-3.90125E-03,-2.490E-03
-3.90105E-03,-2.685E-03
-3.90085E-03,-2.490E-03
-3.90065E-03,-1.123E-03
-3.90045E-03,-1.709E-03
-3.90025E-03,-2.295E-03
-3.90004E-03,-2.099E-03
-3.89984E-03,-1.904E-03
-3.89964E-03,-2.490E-03
-3.89944E-03,-1.513E-03
-3.89924E-03,-1.709E-03
-3.89904E-03,-2.685E-03
-3.89884E-03,-2.099E-03
-3.89863E-03,-2.685E-03
-3.89843E-03,-2.099E-03
-3.89823E-03,-2.685E-03
